# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Purple Tentacle	紫色觸手
Green Tentacle	綠色觸手
Mmmm^ I'm thirsty!	嗯^ 我好渴！
I don't think you should drink that^	我看你最好別喝那個^
It looks bad for you.	看起來對身體不太好。
Nonsense!	胡說八道！
It makes me feel GREAT!\255\003Smarter!  More aggressive!	我覺得棒透了！\255\003更聰明！更有侵略性！
I feel like I could^	我覺得我可以^
^like I could^	^好像我可以^
^like^\255\003^I^\255\003^could^	^好像^\255\003^我^\255\003^可以^
TAKE ON \255\003THE WORLD!!!	征服\255\003全世界！！！
Hoagie	霍基
Bernard	伯納
Laverne	拉玟
Ding Dong	叮咚
Look, Hoagie, it's a hamster!	你看，霍基，是隻倉鼠！
Just what I need for dissection lab tomorrow!	正好給我明天解剖課用！
I think I need that for the band, Laverne^\255\003^you know, like we could bite its head off or whatever.	我想樂團會用得上那個，拉玟^\255\003^你知道的，像是把牠的頭咬下來之類的。
Hands off that hamster!	別碰那隻倉鼠！
Friend of yours, Bernard?	你朋友啊，伯納？
He belongs to Weird Ed Edison!\255\003And it looks like he's brought us a note!	牠是怪異愛德養的！\255\003看樣子牠還幫我們帶了張紙條！
It's from my old friend Green Tentacle^	是我的老朋友綠色觸手寄來的^
He says that Purple Tentacle's mutated into an insane genius^	他說紫色觸手突變成了瘋狂天才^
^and Doctor Fred's going to kill them both!	^而佛瑞德博士打算把牠們兩個都殺掉！
I thought I was free of Doctor Fred and those crazy Edisons forever.	我還以為這輩子再也不用碰上佛瑞德博士和那家瘋狂的艾迪生了。
But now I know that I must go^	但現在我知道，我非去不可^
Back^	回到^
^to the mansion!	^那棟大樓！
`YOU'RE BRILLIANT.  WHAT A NOVEL DESIGN.  COME TO BALTIMORE AT ONCE.`	`你真是天才。多麼新穎的設計。立刻前來巴爾的摩。`
How could I improve on such succinct brilliance?	如此精煉的妙筆，我還能改什麼？
letter	信
Whoo!  The Pony Express!	哇喔！快馬郵遞！
mailbox flag	信箱旗
That's only fun from a moving pick-up.	那要在開動的小貨車上才好玩。
It's open.	開著的。
It's closed.	關著的。
mailbox	信箱
Making it dirtier won't help.	弄得更髒也沒用。
I won't be able to get it very clean without soap.	沒有肥皂洗不乾淨。
What am I supposed to do without water?	沒有水是要我怎麼辦？
I can't do anything without something to scrub with.	沒有東西可以刷，什麼都做不了。
Ah, it's clean enough for me.	啊，這樣對我來說夠乾淨了。
It's totally covered with crud.	上面全是髒東西。
carriage	馬車
door	門
field	田野
rrrring rrrring	鈴鈴鈴　鈴鈴鈴
Yeah, what do you want?	喂，你要幹嘛？
Hi there?\255\003Is this Dr. Fred Edison?	你好？\255\003請問是佛瑞德・艾迪生博士嗎？
Who did you think you called?\255\003Dr. Spock?\255\003Look, I don't have all day.	不然你以為你打給誰？\255\003史巴克博士嗎？\255\003聽著，我沒空跟你耗。
This is Farley Krock at LucasArts Games.\255\003I just discovered your contract among some very old files.\255\003And, well, our lawyers say that we, uh^\255\003^have to pay you two million dollars in back royalties.	我是 LucasArts Games 的法利・克羅克。\255\003我剛在一堆舊檔案裡翻到您的合約。\255\003然後呢，我們的律師說我們，呃^\255\003^得補付您兩百萬美元的版稅。
Uh, for the use of your family in the Maniac Mansion video game.	呃，因為《瘋狂大樓》那款遊戲用了您全家。
WHAT!	什麼！
This is Farley Kro--	我是法利・克羅——
No, I heard that, you MORON.\255\003When do I get my MONEY?!?	不，我聽到了，你這白痴。\255\003我的錢什麼時候到？！？
Oh, right now.\255\003It's been credited to your Swiss bank account.	喔，現在就到了。\255\003已經匯進您的瑞士銀行帳戶。
Operator!\255\003Get me a travel agent!\255\003This is an emergency!	總機！\255\003幫我接旅行社！\255\003這是緊急狀況！
*ding dong*	*叮咚*
Now that's service^	這才叫服務^
I'd better get this to Dr. Fred right away!	我最好馬上把這個拿去給佛瑞德博士！
That should do it!	這樣應該就行了！
