# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Awesome!	讚啦！
My name's Hoagie.	我叫霍基。
Does Mrs. Washington know you wear so much makeup?	華盛頓夫人知道你化這麼濃的妝嗎？
Indeed.	確實。
Like the sandwich?\255\003How quaint.	跟那個三明治一樣？\255\003真是古怪。
One must wear makeup when one receives the phenomenal amount of media attention that I do.\255\003It's quite likely that I'll be president soon, you know.	一個人受到我這種程度的媒體關注時，是必須上妝的。\255\003你知道嗎，我很可能很快就會當上總統。
Yes, I expect to be chosen president unanimously.\255\003I'm VERY well connected.	沒錯，我預期會被全票推選為總統。\255\003我的人脈非常廣。
As a matter of fact, I do make use of artificial teeth.\255\003I find them to be far superior to the ordinary enamel variety.	事實上，我確實使用人造牙。\255\003我覺得它們遠優於普通的琺瑯質品種。
Wow, what do you brush them with?	哇，那你用什麼刷？
Don't you have a problem with splinters?	不會有木刺的問題嗎？
Where could I get some of those?	我要去哪裡弄一副？
My Uncle Henry has false teeth, too.	我亨利叔叔也有假牙。
Well, I gotta go now.	好啦，我該走了。
I use a toothbrush, much like everyone else.\255\003And a bit of wood polish, of course.	我用牙刷，跟大家一樣。\255\003當然還要抹點木器亮光蠟。
Doesn't that taste awful?	那不會很難吃嗎？
Don't they make a disposable kind?	沒有拋棄式的嗎？
Not if you take them out, first.	先拿下來就不會。
Actually, I believe the proprietor of this inn is working on something like that.	其實我相信這家客棧的老闆正在弄類似的東西。
I've been to WAR, boy.\255\003No one who's heard the thunder of musket fire^\255\003^smelled the sulphur from a cannon blast^\255\003^and felt the fear in the hearts of his comrades^\255\003^is going to be bothered by a little thing like--\255\003OW!!\255\003Blast it!	我上過戰場，孩子。\255\003一個聽過火槍雷鳴^\255\003^聞過砲火硫磺^\255\003^感受過同袍心中恐懼的人^\255\003^是不會被這種小事困擾的——\255\003噢！！\255\003該死！
Well, what about termites?	那白蟻呢？
Well, what about woodpeckers?	那啄木鳥呢？
Well, what about dry rot?	那乾腐病呢？
Hardly.	才不會。
They're rather expensive.\255\003Mine were custom-made for me by my good friend Paul Revere.	它們相當昂貴。\255\003我這副是我的好友保羅・列維爾為我訂製的。
Didn't he ride a horse through town naked?	他不是裸體騎馬穿過鎮上嗎？
Didn't he invent 3-D glasses?	他不是發明了 3D 眼鏡嗎？
Doesn't he have a band or something?	他不是有個樂團之類的嗎？
I believe you have him confused with someone else.	我想你把他跟別人搞混了。
Fascinating, I'm sure.	真是引人入勝呢。
The future of our nation.	我們國家的未來。
That young couple by the stump?	樹樁旁邊那對年輕情侶？
That young couple by the tree?	樹旁邊那對年輕情侶？
Those outhouses?	那些茅房？
A system of free enterprise and opportunity?	自由企業與機會的制度？
No, no.	不，不。
I was just admiring my reflection in the window.\255\003Striking, aren't I?	我只是在欣賞窗上自己的倒影。\255\003很出眾吧？
There are two sides to everything, you know that, my boy?	凡事都有兩面，你知道嗎，孩子？
Wow, what issue are you contemplating?	哇，你在思考什麼議題？
Is it the legality of abortion?	是墮胎的合法性嗎？
Is it death penalty laws?	是死刑法嗎？
Is it victimless crimes?	是無被害人犯罪嗎？
What do you think, is my left side better, or my right?	你覺得呢，我左臉比較好看還是右臉？
Something horrible is on the rise.	有件可怕的事正在興起。
Pollution?	污染？
Imperialism?	帝國主義？
Noise control laws?	噪音管制法？
What?  What is it?	什麼？是什麼？
I think I'm getting a blemish.	我好像長了顆痘子。
Do you think I should be the `ecology president` or the `education president?`	你覺得我該當 `生態總統` 還是 `教育總統？`
I'm a big fan of education.	我非常支持教育。
I think ecology is very important.	我覺得生態非常重要。
Depends on how many cherry trees you've chopped down.	那要看你砍了幾棵櫻桃樹。
I think I have to go now.	我想我該走了。
Really?\255\003How surprising.	真的嗎？\255\003真令人意外。
Yes, of course, but what really matters is which one SOUNDS better.	是啊當然，但真正重要的是哪個「聽起來」比較好。
Excellent point.	說得好。
Well, I AM quite the adept tree-cutter.\255\003Men still tell tales of my youthful prowess.	我砍樹確實相當在行。\255\003至今仍有人傳頌我年輕時的英勇事蹟。
Would you give me a demonstration?	能示範一次給我看嗎？
I bet you've lost it.  You couldn't cut down a tree to \254\008     save your grandmother.	我看你早就不行了。你就算要救你奶奶也 \254\008     砍不倒一棵樹。
I think I'll go look at some trees right now.	我想我現在就去看看樹。
I don't see why I should.	我不覺得有這個必要。
Lost it, have I?\255\003Why, I'd show you a thing or two, if there were a cherry tree nearby!	我不行了？\255\003哼，附近要是有棵櫻桃樹，我就露一手給你看！
But as you can see, there isn't.	但你也看到了，並沒有。
I only cut down CHERRY trees.\255\003Family tradition, you understand, cherries only.\255\003There's nothing out there but cedar and kumquats.	我只砍櫻桃樹。\255\003家族傳統，你懂的，只砍櫻桃。\255\003外面除了雪松和金桔什麼都沒有。
Hey, tall, dark and spiffy.\255\003My name's Hoagie.	嘿，高高帥帥又體面的。\255\003我叫霍基。
Well, how quaint.\255\003I am, of course, Thomas Jefferson^\255\003^noted scholar, musician, horseman^\255\003^student of the sciences, member of the bar^	真是古怪。\255\003我當然就是湯瑪斯・傑佛遜^\255\003^著名學者、音樂家、騎術高手^\255\003^科學的學徒、律師公會成員^
Oh, sure, I've heard of you, dude.	喔當然，我聽過你，老兄。
Yo, Tom.	唷，湯姆。
Thomas.	是湯瑪斯。
So how's the time capsule going?	那時空膠囊弄得怎樣了？
What's in the can, Tommy?	罐子裡裝什麼，小湯？
How goes the framing of the Constitution?	憲法起草得如何了？
Dude, is that, like, THE Constitution?	老兄，那個是不是就是「那部」憲法？
What are you guys doing in here?	你們在這裡幹嘛？
How can you let Hancock suffer like that?	你怎麼能讓漢考克那樣受罪？
Could you start a fire, please?	可以麻煩你生個火嗎？
Has anyone ever told you you're a very snappy dresser?	有人跟你說過你穿得很有型嗎？
Dude, I loved your work on the Declaration of Independence.	老兄，我超愛你在獨立宣言上的作品。
Well, later, dude.	那就這樣啦，老兄。
Later, bra.	回頭見，兄弟。
Thomas.  My name is Thomas.\255\003And this, my chubby friend, is a time capsule^	湯瑪斯。我叫湯瑪斯。\255\003而這個，我圓潤的朋友，是時空膠囊^
^as if you didn't know^	^好像你不知道似的^
^filled with remembrances of our time to be revealed four hundred years hence.	^裡面裝滿我們這個時代的紀念物，四百年後才會開啟。
Very well, now that you've provided that fine recent vintage wine.\255\003I plan to bury it this evening.	很好，既然你提供了那瓶上好的新年份葡萄酒。\255\003我打算今晚就把它埋了。
I'm sorry to say that except for my log, we haven't got a thing.	很遺憾，除了我那根木頭之外，我們什麼都沒有。
No one has brought me anything.\255\003I'm having some difficulty generating the proper spirit.	沒有人拿任何東西給我。\255\003我很難醞釀出應有的氣氛。
We're writing the constitution for the United States.	我們在為合眾國撰寫憲法。
That's it over there?	那邊那個就是嗎？
Right now it's just A constitution, I'm afraid.\255\003We hit a slight creative block right after the preamble.\255\003That's why we've put up a suggestion box over there.	恐怕現在它還只是「一部」憲法。\255\003我們寫完序言就有點卡住了。\255\003所以我們在那邊放了個建議箱。
It is.\255\003Now that our esteemed leader has sparked us with his brilliant vacuum suggestion, we're really rolling!	是的。\255\003自從我們敬愛的領袖用他那個絕妙的吸塵器建議點燃了我們，我們就一路順暢了！
Not so well.	不太順利。
We can't decide whether we should allow a free press or impose a tax.	我們決定不了該允許新聞自由還是課稅。
An argument has broken out over whether we should separate church and state or legalize bingo parlors.	我們為了該政教分離還是把賓果廳合法化吵了起來。
We can't even decide what font to use.	我們連要用什麼字體都決定不了。
