# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
It's stuck.	卡住了。
I can see the roof right outside.	我可以看到外面就是屋頂。
Mangy flea-bitten rat-batting mouse-muncher.	一隻長癬長跳蚤、專打老鼠嚼耗子的東西。
What a pretty pussycat.	多漂亮的貓咪。
I wouldn't want him to squirt me back.	我可不想被他噴回來。
I don't do cruelty to animals.	我不虐待動物。
No matter how vicious.	不管牠多兇。
Use it for what?	用它幹嘛？
No way! It was hard to get it!	想都別想！那個很難拿到！
Thermodynamic flux induction circuit design is--	熱力學通量感應電路設計是——
Hssss!	嘶——！
cat	貓
Cats love things like this.	貓最愛這種東西。
Cats dig these.	貓超愛這個。
Oh, I love these!	喔，我最愛這個了！
I think not.	我看不要。
Why?	為什麼？
squeaky mouse toy	會叫的玩具老鼠
Ned's squeaky mattress	奈德那張會叫的床墊
Jed's mattress	傑德的床墊
YIPE!	唉唷！
squeak squeak squeak	吱 吱 吱
No way.  I'm not doing that again.	想都別想。我不要再來一次。
nnngg	嗯嗯
Nnnggg!	嗯嗯嗯！
NNNGGGG!	嗯嗯嗯嗯！
*phew*	*呼*
No way, it could be on fire by now.	想都別想，現在說不定燒起來了。
The blanket's keeping the smoke from escaping.	毯子把煙堵住出不去。
It's really smokin'.	煙真大。
It's just a cold chimney.	只是根冷冰冰的煙囪。
No way.  I'd get toasted.	想都別想。我會被烤焦。
That would be lame.	那樣很遜。
chimney	煙囪
Looks like someone's bedroom.	看起來像誰的臥室。
It's blocked up with somebody's bed.	被誰的床堵住了。
It's one of those pulley things.	是那種滑輪的東西。
It's too complicated for me.	對我來說太複雜了。
pulley	滑輪
FIRE!!!	失火了！！！
OK^	好^
^who was the idiot who started the fire?	^是哪個白痴放的火？
peephole	窺孔
Hey, you can't go in there.	喂，你不能進去。
Purple tentacle might lock me in if I close it.\255\003I don't want to get trapped up here!	我要是關上，紫色觸手可能會把我鎖在裡面。\255\003我可不想被困在上面！
It leads down to the landing.	通到樓梯口。
Amazing coincidence, them wearing the exact same suit to work today.	真是巧，他們今天穿了一模一樣的西裝上班。
Why bother?\255\003Everyone knows you can't fight the I.R.S.	何必呢？\255\003大家都知道跟國稅局鬥不過。
Thanks, but, as you can see, we're sort of busy.	謝了，但你也看到，我們有點忙。
IRS agents	國稅局探員
I can't believe what a mess these records are.	這些帳目亂成這樣真令人不敢相信。
Mm.	嗯。
Is that a W-390/B Frivolous Spending Report?	那是 W-390/B 無謂支出申報表嗎？
No, it's another 561-AB Negative Attention Statement.	不，是另一份 561-AB 負面關注聲明書。
Did you say you have a PP-41 Facilities Paraphernalia Declaration over there?	你剛說你那邊有一份 PP-41 設施雜項申報書？
Nope.	沒有。
Good thing we've got Dr. Fred under wraps in the next room, eh?	還好我們把佛瑞德博士包在隔壁房間裡，對吧？
All that red tape ought to keep him busy.	那堆繁文縟節夠他纏一陣子了。
Dr. Fred hasn't made any noise in a while.	佛瑞德博士好一陣子沒聲音了。
Why don't you check on him?	你怎麼不去看看他？
Why don't YOU do it?	你怎麼不去？
How do you suppose the Dodgers are doing?	你覺得道奇隊打得怎樣？
Well, their win/loss ratio is 28 percent below normal^	嗯，他們的勝負比低於常態 28%^
^however, the successful slide margin is actually up 3 points since May.	^不過成功滑壘率自五月以來其實上升了 3 個百分點。
I've noticed that they seem to do well with a man on first after a fly ball when the opposing pitcher is left-handed and wearing a green hat.	我注意到當對方投手是左撇子又戴綠帽時，高飛球後一壘有人的情況他們表現不錯。
Fascinating.	真是引人入勝。
What did you say your wife's name was again?	你太太叫什麼名字來著？
Sandy.	珊蒂。
Oh yeah.	喔對。
Say, what's the filing date for a BFD-206/ZZ Insufficient Credit Applications Form?	欸，BFD-206/ZZ 信用不足申請表的申報期限是什麼時候？
You have until midnight on the twelfth working day past the first full moon after the end of your fiscal year.	你有到會計年度結束後第一個滿月起算第十二個工作日的午夜為止。
However, you can extend the date by filing an RPM-78 Waning Interest Extension anytime before the close of business on the second Tuesday after the first Friday in March.	不過你可以在三月第一個星期五之後的第二個星期二營業結束前，隨時提交 RPM-78 興趣遞減展延書來延期。
And of course, if you're married, you'd also have to file the K-7209 Statement of Joint Intentions and declare any mutual gift expenditures.	當然，如果你已婚，還必須提交 K-7209 共同意向聲明書並申報任何共同贈與支出。
Oh yeah, that's right.	喔對，沒錯。
Uh^\255\003Never mind.	呃^\255\003算了。
Are you guys brothers?	你們是兄弟嗎？
What have you done with Dr. Fred?	你們把佛瑞德博士怎麼了？
Who's your tailor?	你們的裁縫是誰？
I'll just be moseying along.	那我就晃走了。
At the IRS, we're all brothers.	在國稅局，我們都是兄弟。
