# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Decaf wouldn't help there.	低咖啡因幫不上忙。
Hmmm, brown water.	嗯，褐色的水。
decaf coffee	低咖啡因咖啡
It would look nice painted, but I've got better things to do.	漆一漆會好看，但我有更重要的事。
I usually eat that kind of thing with my hands.	那種東西我通常用手吃。
No, that would be bad table manners.	不，那樣餐桌禮儀很差。
This fork couldn't pop a spit bubble, let alone a tough clown like Oozo.	這叉子連口水泡泡都戳不破，更別說烏佐那種硬派小丑。
Actually, I'd call this more of a `threek.`	其實我覺得這應該叫 `三齒叉` 才對。
fork	叉子
My, what a big coffee maker.	哎呀，好大一台咖啡機。
It's already perking away!	已經在煮了！
No.  Appliances are our friends.	不。家電是我們的朋友。
coffee maker	咖啡機
`THE DUKE` memorial brand microwave.	`公爵` 紀念款微波爐。
I'm not touching it.	我不碰。
These models have a history of leakage.	這型號有輻射外洩的前科。
microwave	微波爐
She'd smack into the door!	她會撞到門！
Boy, she looks even worse than she did five years ago.	天啊，她看起來比五年前還糟。
She might get the wrong idea.	她可能會會錯意。
I'm afraid.	我怕。
She's open enough as she is.	她已經夠敞開了。
I don't think that's possible.	我看那不可能。
No thank you, dear.	不用了，親愛的。
Hee hee.	嘻嘻。
I don't know what you're snickering at back there, but cut it out.	我不知道你在後面偷笑什麼，給我停下。
Nurse Edna	愛德娜護士
Get away from that.	離那個遠一點。
VCR	錄影機
Creepy.	毛骨悚然。
Must be an Edison.	一定是艾迪生家的人。
It looks awful heavy.	看起來重死了。
I like it just the way it is.	我喜歡它現在的樣子。
statue	雕像
Nothing going on in there.	裡面沒什麼動靜。
It's Doctor Fred's office.	那是佛瑞德博士的辦公室。
I can see the safe.	我看得到保險箱。
I can almost make out the combination!	我差一點就看清密碼了！
It's^	是^
Get away from there!	離那裡遠一點！
Darn.	可惡。
monitor	監視器
I see a large, pulsating lump with blue stripes on it.	我看到一坨會脈動的大東西，上面有藍色條紋。
Yuck! He sucks up dust-bunnies from under the bed when he inhales!	噁！他吸氣的時候會把床底下的灰塵球吸起來！
He's gone.	他不見了。
Something strange is going on in there.	裡面有奇怪的事在發生。
Looks like the hallway.	看起來像走廊。
Not too interesting.	不怎麼有趣。
Oooh, baby, what a man.	喔，寶貝，真是個男子漢。
You ain't kiddin', precious.	你說得沒錯，親愛的。
Don't even think about it.	想都別想。
No, Edna might come back, and she scares me.	不，愛德娜可能會回來，她讓我害怕。
poster	海報
It looks like a physics professor I knew in the second grade.	看起來像我小學二年級認識的一位物理教授。
owl	貓頭鷹
It's signed, `Edna--Thanks for giving me the fever!`	上面簽著 `愛德娜——謝謝妳讓我發燒！`
photograph	照片
Well you know what they say^	俗話說得好^
`If you want to save the world, you got to push a few old ladies down the stairs.`	`想拯救世界，總得推幾個老太太下樓梯。`
--Eh?	——啊？
I'm sorry, I didn't hear what you said.	抱歉，我沒聽到你說什麼。
I think I must have dozed off there for a minute.	我想我剛才打了個盹。
Excuse me^	不好意思^
What is it? I'm rather--	什麼事？我正在——
Say, aren't you Bernard Bernou¸i?	欸，你不是伯納・白努利嗎？
Hi there, sugar buns.	嗨啊，小甜心。
Hi there, schnooky doodle.	嗨啊，小可愛。
Hi there, my little piddle pie.	嗨啊，我的小甜派。
Hi there, googly woogly.	嗨啊，小咕嚕。
Hi there, squinky poo.	嗨啊，小寶貝。
Hi there, my little gurgle pot.	嗨啊，我的小咕嘟鍋。
Hi there, my little lumpykins.	嗨啊，我的小胖團。
Hi there, my little wishy-washy fishy-wishy.	嗨啊，我的小軟軟魚兒。
Hi there, you manly hunk, you.	嗨啊，你這個猛男。
Hi there, punky dunky.	嗨啊，小龐克。
Hi there, stud.	嗨啊，種馬。
Eeeheeheehee!\255\009\015\000	咿嘻嘻嘻！\255\009\015\000
Yes, that's right.	對，沒錯。
You must have me confused with some other Bernard \254\008     Bernou¸i.	你一定是把我跟另一個伯納・ \254\008     白努利搞混了。
No, my name is Threepwood.	不，我叫史瑞普伍。
No, you're the one.	不，就是你。
Nice try, but I never forget a face.	想得美，我從不忘記一張臉。
You broke into our mansion a few years ago to save your little friend.\255\003What did you come for this time?	你幾年前闖進我們大樓救你的小朋友。\255\003這次又是為什麼來的？
I'm trying to keep a tentacle from conquering the world.	我要阻止一隻觸手征服世界。
I'm a repairman.  I've come to fix your VCR.	我是修理工。我來修你的錄影機。
It's a secret.  I can't tell you.	那是秘密。我不能告訴你。
Uh, I'd better be going^	呃，我還是走好了^
Really?\255\003How nice.	真的嗎？\255\003真好。
There's nothing wrong with my VCR!\255\003You keep your paws off it!	我的錄影機好得很！\255\003你的爪子別碰它！
A secret, eh?\255\003How exciting!\255\003Well, I won't rat you out, hot stuff.	秘密啊？\255\003真刺激！\255\003放心，我不會出賣你的，小帥哥。
Yeeeheehee!\255\009\015\000	咿嘻嘻！\255\009\015\000
Oh, so it's a secret, eh?\255\003Well, I think you're kind of cute, so I won't rat you out.	喔，是秘密啊？\255\003嗯，我覺得你挺可愛的，所以不會出賣你。
Fred is the one who told me to find them.	是佛瑞德叫我去找的。
Let's talk about Dr. Fred some more.	我們再聊聊佛瑞德博士。
How's Dr. Fred doing?	佛瑞德博士還好嗎？
I was just admiring your statue^	我剛剛在欣賞你的雕像^
Let's talk about your electronic gear again.	我們再聊聊你的電子設備。
This is quite an array of gadgetry you have here!	你這裡的裝備真是琳瑯滿目！
I'll let you get back to what you were doing.	那我讓你繼續忙。
Well, he's still upset about the family financial situation, seeing as it's his fault and all^\255\003^but he seems a lot better now that he's stopped sleepwalking.	嗯，他還在為家裡的財務狀況難過，畢竟那都是他的錯^\255\003^不過自從不再夢遊之後，他好像好多了。
Oh, all right.	喔，好吧。
Thank you.\255\003It's been in the Edison family since colonial times.\255\003One of Fred's ancestors carved it.	謝謝。\255\003它從殖民時期就在艾迪生家了。\255\003是佛瑞德的某位祖先雕的。
Yes, it's the best surveillance system in the state.	是啊，這是全州最好的監視系統。
Any time, hot stuff!	隨時歡迎，小帥哥！
Eeeheehee!\255\009\015\000	咿嘻嘻！\255\009\015\000
Come back any time, you big hunk.	隨時再來啊，大猛男。
Super-battery, huh?\255\003Fred might have something like that.	超級電池啊？\255\003佛瑞德可能有那種東西。
How'd he wreck the family finances?	他是怎麼把家裡財務搞垮的？
What's wrong with sleepwalking?	夢遊有什麼不好？
How did he manage to stop sleepwalking?	他怎麼做到不再夢遊的？
Well, enough about Dr. Fred^	好了，佛瑞德博士就聊到這^
Well, we should have made millions on the computer game they made about us^\255\003^but the resident genius locked the contract in the safe in his office and forgot the combination.	我們本來該靠那款以我們為題材的電腦遊戲賺進幾百萬^\255\003^結果我們家那位天才把合約鎖進辦公室的保險箱，然後忘了密碼。
Ordinarily nothing, but when Fred sleepwalks, he remembers the combination to the safe.\255\003I'd find him in the office, opening it, screaming like a cat in the oven, and slamming it again^\255\003^something about what's in there really scares him.\255\003Unfortunately, I was never able to catch the combination since he works it so fast.	平常是沒什麼，但佛瑞德夢遊的時候會想起保險箱的密碼。\255\003我常發現他在辦公室裡打開它，像被關進烤箱的貓一樣尖叫，然後又砰地關上^\255\003^裡面有什麼東西把他嚇壞了。\255\003可惜他轉得太快，我一直沒能看清密碼。
He stopped sleeping.\255\003Fred drinks a LOT of coffee.\255\003Me, I only drink decaf.	他不睡了。\255\003佛瑞德喝很多很多咖啡。\255\003我呢，只喝低咖啡因的。
Shall we talk about me?	我們來聊聊我吧？
Is that a Plexus 7000 VCR?	那是 Plexus 7000 錄影機嗎？
Are those Zenophobe crystal-matrix monitors?	那些是 Zenophobe 晶體矩陣監視器嗎？
Do you think I could play with these a bit?	我可以玩一下這些嗎？
Well, enough about your equipment.	好了，設備就聊到這。
It sure is!\255\003It's got a dual tape speed motor with cobalt casing!	沒錯！\255\003它有雙速磁帶馬達，還是鈷合金外殼！
