# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
What was it you needed for that battery again?	你那個電池到底需要什麼來著？
I think I'll be moseying along now.	我看我還是晃走好了。
Of course I do.\255\003I'm Red Edison, the inventor^\255\003^not to mention owner of this inn.\255\003Perhaps you've seen my picture in some important scientific journal.	我當然認識。\255\003我是瑞德・艾迪生，發明家^\255\003^更別提還是這家客棧的老闆。\255\003也許你在哪本重要的科學期刊上看過我的照片。
Then again, maybe not.	不過話說回來，大概沒有。
I'm working on a new battery with an incredible storage capacity.	我正在研發一種蓄電量驚人的新電池。
I'm inventing, you simpleton, what's it look like I'm doing?	我在發明東西，你這蠢材，不然你以為我在幹嘛？
Well, don't mosey over anything breakable on your way out.	那你晃出去的時候別撞倒易碎品。
Oil, vinegar, and gold.	油、醋，還有黃金。
I still need the vinegar and gold.	我還缺醋和黃金。
I still need the gold and some oil.	我還缺黃金和一些油。
I still need oil and vinegar.	我還缺油和醋。
I still need the oil.	我還缺油。
I still need the vinegar.	我還缺醋。
I still need the gold.	我還缺黃金。
Let me know if you happen across any.	你要是碰巧遇到就跟我說。
Franklin?!?\255\003I would never associate with that overstuffed goofball!	富蘭克林？！\255\003我才不會跟那個腦滿腸肥的呆瓜來往！
He has the stupidest idea about glasses with one red lens and one blue one^	他有個超蠢的點子，說要做一副一片紅一片藍的眼鏡^
I know an inventor who looks a bit like you.	我認識一個發明家長得有點像你。
What are you inventing?	你在發明什麼？
Well, see you later.	那就回頭見。
You might if you cut that hair a bit shorter.	你要是把頭髮剪短一點也許就有。
Well, it's not one of my SONS, that's for sure.	反正絕對不是我兒子裡的哪一個。
It appears that I, Red Edison, foremost genius of my day, am to be the last in a long line of gifted inventors.	看來我，瑞德・艾迪生，當代首屈一指的天才，將是這一長串天賦發明家的最後一人。
My nearly indistinguishable sons have decided that they want to be ARTISTS.	我那幾個幾乎分不出來的兒子決定要當藝術家。
I think it was Jed's idea, or is it Ned^\255\003^ah, well, the left-handed one, at any rate.\255\003Must be some sort of bad blood on their mother's side.	我想是傑德的主意，還是奈德^\255\003^算了，反正是那個左撇子。\255\003一定是他們母親那邊的壞血統。
It's a complex metal device designed to minimize paper entropy.	這是個複雜的金屬裝置，用來把紙張的熵降到最低。
It's a piece of paper that will stick to things by itself.\255\003Rather ingenious if I must say so myself.	這是一張會自己黏在東西上的紙。\255\003恕我自誇，相當巧妙。
It's a new size-independent fastening mechanism based on circular geometry.	這是一種基於圓形幾何、不受尺寸限制的新式固定機構。
What am I supposed to do with that?	那我要拿它怎麼辦？
What's this?\255\003Hmmm^\255\003`HELP WANTED:`\255\003`^moronic drone^`\255\003`^umhmmm^`\255\003`^assist genius^`\255\003`^yadayadayada.`	這是什麼？\255\003嗯^\255\003`徵人：`\255\003`^低能雜工^`\255\003`^嗯哼^`\255\003`^協助天才^`\255\003`^等等等等。`
Well, I'm the only genius around^	這附近唯一的天才就是我^
^and you look dumb enough.	^而你看起來夠笨。
Uh^	呃^
So pick up your lab coat and get to work!\255\009\013\000	那就去拿你的實驗袍開工吧！\255\009\013\000
Ah, excellent.\255\003I need that for my super-battery.	啊，太好了。\255\003我的超級電池正需要那個。
