# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Hey!! Wait, I could build a machine\001that would bring him back to life!	等等！！我可以造一台機器\001把他救活！
But that's another story.\003Ha, ha, ha, ha, ha, ha!!	不過那是另一個故事了。\003哈、哈、哈、哈、哈、哈！！
Great.	太好了。
I'm sorry my mad, insane plan\001caused you so much trouble.\003How can I ever repay you for your help?	很抱歉我那瘋狂的計畫\001給你惹了這麼多麻煩。\003我該怎麼報答你的幫忙？
Cash would be nice!!	給現金就好！！
Don't be a tuna head!	別耍笨了！
   Congratulations! You won the game!	            恭喜！你完成遊戲了！
        Press f4 to play again.	          按 f4 鍵可重新開始遊戲。
Time remaining:\0032:00 minutes until meltdown^	剩餘時間：\003距離爐心熔毀還有 2:00^
1:45 minutes^	1:45^
1:30 minutes^	1:30^
1:15 minutes^	1:15^
1:00 minute^	1:00^
45 seconds^	45 秒^
30 seconds^	30 秒^
15 seconds^	15 秒^
10 seconds^	10 秒^
0 seconds, self-destruct commencing.	0 秒，自毀啟動。
Purple Tentacle! Invaders!!	紫色觸手！有入侵者！！
PURPLE TENTACLE!!	紫色觸手！！
So^\003^you've gotten past all my safeguards!\003There's only one thing left to do!	原來^\003^你突破了我所有的防護！\003那就只剩一件事可做了！
I'm arming the self-destruct mechanism.\003Only I know the secret code to stop it!	我要啟動自毀裝置。\003只有我知道停止的密碼！
There!\003The house will blow up in 2 minutes.\003Heh heh heh!	好了！\003這棟房子兩分鐘後就會爆炸。\003嘿嘿嘿！
Oh...what happened?\003I feel much better now!\003I'm free of this machine's control!	喔……發生什麼事了？\003我覺得好多了！\003我脫離這台機器的控制了！
But wait!\003The self-destruct sequence was initated!\003I'll try to turn it off.	但是等等！\003自毀程序已經啟動了！\003我試著把它關掉。
I can't disable it!\003The meteor must have control of the\001entire system!	我關不掉！\003那顆隕石一定控制了\001整個系統！
Hey kid!\003You've got to help me!\003We have to get rid of that meteor once\001and for all!	喂，孩子！\003你得幫我！\003我們必須一次\001徹底解決那顆隕石！
I did it!	我成功了！
It's stuck!	卡住了！
periscope	潛望鏡
I see a heart-shaped bed.	我看到一張心形的床。
map of house	房屋平面圖
All right, slime-ball! The game's up.	好了，黏液球！遊戲結束。
oh no^	糟了^
Come here^	過來^
You'll never get me^	你永遠抓不到我^
I'm getting out of here.	我要離開這裡。
I'll take care of sucker face\001you get the meteor.	我來對付吸盤臉，\001你去抓隕石。
ooops!	唉呀！
What are you doing to MY FRIEND!!\003I've warned you, don't mess around\001with my band members!\003NOW GET OUT OF HERE!	你對我朋友做什麼！！\003我警告過你，不要動\001我樂團的成員！\003馬上給我出去！
That'll take care of him!	這樣就搞定他了！
What are YOU doing here?	你來這裡做什麼？
A publishing contract for the meteor?\003It'll be happy to see that!\001Sorry I bothered you!\003Move along, move along.	給隕石的出版合約？\003它看到一定很高興！\001抱歉打擾你了！\003走吧走吧。
Hah! I don't want that!	哈！我不要那個！
You're with the Meteor Police!!\003Dr. Fred made me do it!\001He forced me to go along with his plan!	你是隕石警察！！\003是佛瑞德博士逼我的！\001他強迫我配合他的計畫！
